"plot","species","value"
"dry_meadow_007","Taraxacum officinale",9
"dry_meadow_007","Thymus serpyllum",34
"dry_meadow_007","Trifolium repens",3
"dry_meadow_007","Veronica chamaedrys",1
"dry_meadow_008","Achillea millefolium",40
"dry_meadow_008","Aegopodium podagraria",2
"dry_meadow_008","Ballota nigra",3
"dry_meadow_008","Festuca ovina",23
"dry_meadow_008","Galium aparine",1
"dry_meadow_008","Galium odoratum",2
"dry_meadow_008","Galium verum",24
"dry_meadow_008","Lotus corniculatus",35
"dry_meadow_008","Plantago lanceolata",29
"dry_meadow_008","Poa pratensis",4
"dry_meadow_008","Rubus caesius",2
"dry_meadow_008","Salvia pratensis",33
"dry_meadow_008","Taraxacum officinale",25
"dry_meadow_008","Thymus serpyllum",48
"dry_meadow_008","Trifolium repens",14
"dry_meadow_008","Urtica dioica",2
"dry_meadow_009","Achillea millefolium",27
"dry_meadow_009","Bromus erectus",25
"dry_meadow_009","Dactylis glomerata",5
"dry_meadow_009","Deschampsia cespitosa",1
"dry_meadow_009","Festuca ovina",14
"dry_meadow_009","Galium verum",26
"dry_meadow_009","Iris pseudacorus",3
"dry_meadow_009","Lotus corniculatus",42
"dry_meadow_009","Ranunculus acris",13
"dry_meadow_009","Salvia pratensis",33
"dry_meadow_009","Thymus serpyllum",46
"dry_meadow_010","Achillea millefolium",18
"dry_meadow_010","Aegopodium podagraria",7
"dry_meadow_010","Bromus erectus",34
"dry_meadow_010","Festuca ovina",32
"dry_meadow_010","Galium verum",17
"dry_meadow_010","Leucanthemum vulgare",3
"dry_meadow_010","Plantago lanceolata",15
"dry_meadow_010","Rubus caesius",1
"dry_meadow_010","Salvia pratensis",29
"dry_meadow_010","Taraxacum officinale",8
"dry_meadow_010","Thymus serpyllum",21
"dry_meadow_010","Urtica dioica",6
"dry_meadow_011","Achillea millefolium",15
"dry_meadow_011","Aegopodium podagraria",1
"dry_meadow_011","Galium verum",11
"dry_meadow_011","Hedera helix",3
"dry_meadow_011","Hypericum perforatum",3
"dry_meadow_011","Lotus corniculatus",64
"dry_meadow_011","Plantago lanceolata",42
"dry_meadow_011","Poa pratensis",11
"dry_meadow_011","Ranunculus acris",3
"dry_meadow_011","Salvia pratensis",40
"dry_meadow_011","Taraxacum officinale",11
"dry_meadow_012","Artemisia vulgaris",1
"dry_meadow_012","Bromus erectus",50
"dry_meadow_012","Chelidonium majus",4
"dry_meadow_012","Deschampsia cespitosa",1
"dry_meadow_012","Festuca ovina",29
"dry_meadow_012","Galium verum",49
"dry_meadow_012","Lotus corniculatus",33
"dry_meadow_012","Plantago lanceolata",25
"dry_meadow_012","Plantago major",9
"dry_meadow_012","Poa pratensis",3
"dry_meadow_012","Ranunculus acris",3
"dry_meadow_012","Salvia pratensis",31
"dry_meadow_012","Thymus serpyllum",32
"dry_meadow_012","Veronica chamaedrys",3
"dry_meadow_013","Bromus erectus",35
"dry_meadow_013","Fagus sylvatica",2
"dry_meadow_013","Festuca ovina",17
"dry_meadow_013","Galium verum",33
"dry_meadow_013","Lotus corniculatus",32
"dry_meadow_013","Pinus sylvestris",5
"dry_meadow_013","Plantago lanceolata",15
"dry_meadow_013","Plantago major",19
"dry_meadow_013","Poa pratensis",27
"dry_meadow_013","Rubus caesius",5
"dry_meadow_013","Salvia pratensis",44
"dry_meadow_013","Thymus serpyllum",10
"dry_meadow_013","Trifolium repens",20
"dry_meadow_014","Achillea millefolium",23
"dry_meadow_014","Bromus erectus",17
"dry_meadow_014","Dactylis glomerata",1
"dry_meadow_014","Festuca ovina",31
"dry_meadow_014","Galium verum",13
"dry_meadow_014","Phragmites australis",2
"dry_meadow_014","Plantago lanceolata",27
"dry_meadow_014","Ranunculus acris",17
"dry_meadow_014","Salvia pratensis",55
"dry_meadow_014","Thymus serpyllum",42
"dry_meadow_015","Aegopodium podagraria",7
"dry_meadow_015","Galium verum",29
"dry_meadow_015","Mentha aquatica",1
"dry_meadow_015","Plantago lanceolata",22
"dry_meadow_015","Rubus caesius",4
"dry_meadow_015","Salvia pratensis",40
"dry_meadow_015","Taraxacum officinale",7
"dry_meadow_015","Thymus serpyllum",17
"dry_meadow_015","Trifolium repens",5
"dry_meadow_016","Achillea millefolium",36
"dry_meadow_016","Ballota nigra",2
"dry_meadow_016","Bromus erectus",16
"dry_meadow_016","Carex acuta",5
"dry_meadow_016","Festuca ovina",23
"dry_meadow_016","Galium verum",26
"dry_meadow_016","Lotus corniculatus",38
"dry_meadow_016","Plantago lanceolata",57
"dry_meadow_016","Poa pratensis",6
"dry_meadow_016","Salvia pratensis",58
"dry_meadow_016","Thymus serpyllum",38
"dry_meadow_017","Achillea millefolium",28
"dry_meadow_017","Ballota nigra",6
"dry_meadow_017","Bromus erectus",29
"dry_meadow_017","Festuca ovina",23
"dry_meadow_017","Galium verum",22
"dry_meadow_017","Leucanthemum vulgare",5
"dry_meadow_017","Lotus corniculatus",40
"dry_meadow_017","Plantago lanceolata",24
"dry_meadow_017","Poa pratensis",23
"dry_meadow_017","Rubus caesius",2
"dry_meadow_017","Salvia pratensis",15
"dry_meadow_017","Sambucus nigra",5
"dry_meadow_017","Taraxacum officinale",15
"dry_meadow_017","Thymus serpyllum",16
"dry_meadow_018","Aegopodium podagraria",1
"dry_meadow_018","Bromus erectus",8
"dry_meadow_018","Festuca ovina",17
"dry_meadow_018","Galium verum",17
"dry_meadow_018","Hedera helix",4
"dry_meadow_018","Lotus corniculatus",44
"dry_meadow_018","Plantago lanceolata",45
"dry_meadow_018","Plantago major",15
"dry_meadow_018","Salvia pratensis",34
"dry_meadow_018","Taraxacum officinale",17
"dry_meadow_018","Thymus serpyllum",16
"dry_meadow_018","Trifolium repens",8
"dry_meadow_019","Carex acuta",2
"dry_meadow_019","Dactylis glomerata",3
"dry_meadow_019","Deschampsia cespitosa",1
"dry_meadow_019","Festuca ovina",26
"dry_meadow_019","Lotus corniculatus",19
"dry_meadow_019","Melica uniflora",1
"dry_meadow_019","Mercurialis perennis",6
"dry_meadow_019","Plantago lanceolata",18
"dry_meadow_019","Poa pratensis",4
"dry_meadow_019","Salvia pratensis",37
"dry_meadow_019","Taraxacum officinale",17
"dry_meadow_020","Bromus erectus",34
"dry_meadow_020","Festuca ovina",57
"dry_meadow_020","Leucanthemum vulgare",7
"dry_meadow_020","Lotus corniculatus",29
"dry_meadow_020","Plantago lanceolata",34
"dry_meadow_020","Poa pratensis",5
"dry_meadow_020","Salvia pratensis",35
"dry_meadow_020","Taraxacum officinale",24
"dry_meadow_020","Thymus serpyllum",22
"dry_meadow_020","Urtica dioica",2
"dry_meadow_021","Achillea millefolium",34
"dry_meadow_021","Aegopodium podagraria",2
"dry_meadow_021","Betula pendula",1
"dry_meadow_021","Bromus erectus",39
"dry_meadow_021","Festuca ovina",38
"dry_meadow_021","Melica uniflora",1
"dry_meadow_021","Salvia pratensis",34
"dry_meadow_021","Thymus serpyllum",27
"dry_meadow_022","Achillea millefolium",12
"dry_meadow_022","Chelidonium majus",3
"dry_meadow_022","Festuca ovina",49
"dry_meadow_022","Hypericum perforatum",1
"dry_meadow_022","Lotus corniculatus",17
"dry_meadow_022","Plantago lanceolata",54
"dry_meadow_022","Salvia pratensis",8
"dry_meadow_022","Thymus serpyllum",19
"dry_meadow_023","Achillea millefolium",32
"dry_meadow_023","Bromus erectus",35
"dry_meadow_023","Festuca ovina",37
"dry_meadow_023","Galium verum",18
"dry_meadow_023","Plantago lanceolata",42
"dry_meadow_023","Plantago major",3
"dry_meadow_023","Rumex acetosa",2
"dry_meadow_023","Salvia pratensis",16
"dry_meadow_023","Taraxacum officinale",17
"dry_meadow_023","Thymus serpyllum",27
"dry_meadow_023","Trifolium repens",6
"dry_meadow_024","Achillea millefolium",28
"dry_meadow_024","Chelidonium majus",1
"dry_meadow_024","Festuca ovina",23
"dry_meadow_024","Galium verum",27
"dry_meadow_024","Lotus corniculatus",47
"dry_meadow_024","Plantago lanceolata",24
"dry_meadow_024","Poa pratensis",4
"dry_meadow_024","Ranunculus acris",9
"dry_meadow_024","Salvia pratensis",20
"dry_meadow_024","Taraxacum officinale",11
"dry_meadow_024","Thymus serpyllum",35
"dry_meadow_024","Trifolium repens",3
"dry_meadow_025","Bromus erectus",21
"dry_meadow_025","Plantago lanceolata",26
"dry_meadow_025","Plantago major",6
"dry_meadow_025","Prunella vulgaris",3
"dry_meadow_025","Rubus caesius",3
"dry_meadow_025","Salvia pratensis",37
"dry_meadow_025","Taraxacum officinale",17
"dry_meadow_025","Thymus serpyllum",10
"dry_meadow_026","Achillea millefolium",20
"dry_meadow_026","Ballota nigra",2
"dry_meadow_026","Bromus erectus",29
"dry_meadow_026","Dactylis glomerata",3
"dry_meadow_026","Festuca ovina",48
"dry_meadow_026","Galium aparine",2
"dry_meadow_026","Lotus corniculatus",39
"dry_meadow_026","Plantago lanceolata",28
"dry_meadow_026","Plantago major",8
"dry_meadow_026","Ranunculus acris",5
"dry_meadow_026","Salvia pratensis",15
"dry_meadow_026","Thymus serpyllum",9
"dry_meadow_027","Achillea millefolium",31
"dry_meadow_027","Bromus erectus",15
"dry_meadow_027","Festuca ovina",35
"dry_meadow_027","Hedera helix",4
"dry_meadow_027","Lotus corniculatus",49
"dry_meadow_027","Plantago lanceolata",39
"dry_meadow_027","Poa pratensis",24
"dry_meadow_027","Ranunculus acris",5
"dry_meadow_027","Salvia pratensis",28
"dry_meadow_027","Thymus serpyllum",15
"dry_meadow_027","Trifolium repens",3
"dry_meadow_028","Achillea millefolium",51
"dry_meadow_028","Ballota nigra",4
"dry_meadow_028","Bromus erectus",19
"dry_meadow_028","Dryopteris filix-mas",3
"dry_meadow_028","Festuca ovina",25
"dry_meadow_028","Galium verum",29
"dry_meadow_028","Lotus corniculatus",43
"dry_meadow_028","Plantago lanceolata",44
"dry_meadow_028","Ranunculus acris",3
"dry_meadow_028","Salvia pratensis",26
"dry_meadow_028","Thymus serpyllum",68
"dry_meadow_028","Veronica chamaedrys",2
"dry_meadow_029","Carex acuta",3
"dry_meadow_029","Chelidonium majus",6
"dry_meadow_029","Festuca ovina",28
"dry_meadow_029","Galium aparine",1
"dry_meadow_029","Galium verum",21
"dry_meadow_029","Lotus corniculatus",32
"dry_meadow_029","Phragmites australis",7
"dry_meadow_029","Plantago lanceolata",10
"dry_meadow_029","Poa pratensis",13
"dry_meadow_029","Salvia pratensis",29
"dry_meadow_030","Achillea millefolium",39
"dry_meadow_030","Bromus erectus",20
"dry_meadow_030","Festuca ovina",7
"dry_meadow_030","Filipendula ulmaria",3
"dry_meadow_030","Lotus corniculatus",43
"dry_meadow_030","Plantago lanceolata",13
"dry_meadow_030","Poa pratensis",15
"dry_meadow_030","Salvia pratensis",35
"dry_meadow_030","Taraxacum officinale",10
"dry_meadow_030","Thymus serpyllum",30
"dry_meadow_030","Trifolium repens",24
"ruderal_edge_001","Achillea millefolium",1
"ruderal_edge_001","Ballota nigra",25
"ruderal_edge_001","Chelidonium majus",42
"ruderal_edge_001","Dactylis glomerata",39
"ruderal_edge_001","Galium aparine",35
"ruderal_edge_001","Galium verum",7
"ruderal_edge_001","Hedera helix",6
"ruderal_edge_001","Melica uniflora",2
"ruderal_edge_001","Plantago lanceolata",4
"ruderal_edge_001","Plantago major",11
"ruderal_edge_001","Poa pratensis",10
"ruderal_edge_001","Taraxacum officinale",14
"ruderal_edge_001","Trifolium repens",2
"ruderal_edge_001","Urtica dioica",45
"ruderal_edge_002","Artemisia vulgaris",36
"ruderal_edge_002","Ballota nigra",34
"ruderal_edge_002","Chelidonium majus",21
"ruderal_edge_002","Dactylis glomerata",46
"ruderal_edge_002","Galium aparine",45
"ruderal_edge_002","Leucanthemum vulgare",3
"ruderal_edge_002","Lychnis flos-cuculi",4
"ruderal_edge_002","Mercurialis perennis",2
"ruderal_edge_002","Plantago lanceolata",2
"ruderal_edge_002","Taraxacum officinale",6
"ruderal_edge_002","Trifolium repens",13
"ruderal_edge_002","Urtica dioica",32
"ruderal_edge_003","Artemisia vulgaris",23
"ruderal_edge_003","Ballota nigra",17
"ruderal_edge_003","Betula pendula",1
"ruderal_edge_003","Caltha palustris",5
"ruderal_edge_003","Chelidonium majus",32
"ruderal_edge_003","Dactylis glomerata",37
"ruderal_edge_003","Galium aparine",10
"ruderal_edge_003","Hypericum perforatum",6
"ruderal_edge_003","Lotus corniculatus",1
"ruderal_edge_003","Plantago major",13
"ruderal_edge_003","Poa pratensis",4
"ruderal_edge_003","Rubus caesius",4
"ruderal_edge_003","Sambucus nigra",37
"ruderal_edge_003","Urtica dioica",41
"ruderal_edge_004","Aegopodium podagraria",31
"ruderal_edge_004","Artemisia vulgaris",12
"ruderal_edge_004","Ballota nigra",12
"ruderal_edge_004","Chelidonium majus",28
"ruderal_edge_004","Dactylis glomerata",23
"ruderal_edge_004","Fagus sylvatica",5
"ruderal_edge_004","Galium aparine",21
"ruderal_edge_004","Iris pseudacorus",1
"ruderal_edge_004","Lotus corniculatus",1
"ruderal_edge_004","Poa pratensis",9
"ruderal_edge_004","Quercus robur",3
"ruderal_edge_004","Rubus caesius",2
"ruderal_edge_004","Sambucus nigra",53
"ruderal_edge_004","Thymus serpyllum",5
"ruderal_edge_004","Trifolium repens",9
"ruderal_edge_004","Urtica dioica",31
"ruderal_edge_005","Aegopodium podagraria",34
"ruderal_edge_005","Artemisia vulgaris",23
"ruderal_edge_005","Ballota nigra",29
"ruderal_edge_005","Betula pendula",8
"ruderal_edge_005","Chelidonium majus",23
"ruderal_edge_005","Dactylis glomerata",35
"ruderal_edge_005","Deschampsia cespitosa",2
"ruderal_edge_005","Lychnis flos-cuculi",2
"ruderal_edge_005","Plantago major",15
"ruderal_edge_005","Ranunculus acris",5
"ruderal_edge_005","Salvia pratensis",5
"ruderal_edge_005","Urtica dioica",51
"ruderal_edge_005","Veronica chamaedrys",1
"ruderal_edge_006","Aegopodium podagraria",14
"ruderal_edge_006","Artemisia vulgaris",25
"ruderal_edge_006","Ballota nigra",24
"ruderal_edge_006","Dactylis glomerata",60
"ruderal_edge_006","Hedera helix",2
"ruderal_edge_006","Plantago major",11
"ruderal_edge_006","Poa pratensis",6
"ruderal_edge_006","Ranunculus acris",8
"ruderal_edge_006","Sambucus nigra",29
"ruderal_edge_006","Urtica dioica",45
"ruderal_edge_007","Aegopodium podagraria",22
"ruderal_edge_007","Artemisia vulgaris",37
"ruderal_edge_007","Ballota nigra",46
"ruderal_edge_007","Chelidonium majus",13
"ruderal_edge_007","Dactylis glomerata",14
"ruderal_edge_007","Galium aparine",39
"ruderal_edge_007","Plantago lanceolata",5
"ruderal_edge_007","Ranunculus acris",10
"ruderal_edge_007","Rumex acetosa",5
"ruderal_edge_007","Sambucus nigra",7
"ruderal_edge_007","Taraxacum officinale",14
"ruderal_edge_007","Thymus serpyllum",5
"ruderal_edge_007","Vicia cracca",3
"ruderal_edge_008","Aegopodium podagraria",15
"ruderal_edge_008","Ballota nigra",21
"ruderal_edge_008","Galium aparine",37
"ruderal_edge_008","Galium verum",3
"ruderal_edge_008","Juncus effusus",6
"ruderal_edge_008","Lotus corniculatus",2
"ruderal_edge_008","Plantago lanceolata",2
"ruderal_edge_008","Plantago major",9
"ruderal_edge_008","Prunella vulgaris",2
"ruderal_edge_008","Ranunculus acris",9
"ruderal_edge_008","Sambucus nigra",21
"ruderal_edge_008","Taraxacum officinale",18
"ruderal_edge_008","Trifolium repens",11
"ruderal_edge_008","Urtica dioica",16
"ruderal_edge_009","Artemisia vulgaris",18
"ruderal_edge_009","Ballota nigra",13
"ruderal_edge_009","Chelidonium majus",16
"ruderal_edge_009","Dactylis glomerata",58
"ruderal_edge_009","Deschampsia cespitosa",3
"ruderal_edge_009","Filipendula ulmaria",4
"ruderal_edge_009","Galium aparine",25
"ruderal_edge_009","Galium verum",1
"ruderal_edge_009","Leucanthemum vulgare",1
"ruderal_edge_009","Plantago major",2
"ruderal_edge_009","Poa pratensis",12
"ruderal_edge_009","Ranunculus acris",3
"ruderal_edge_009","Sambucus nigra",28
"ruderal_edge_009","Taraxacum officinale",1
"ruderal_edge_010","Achillea millefolium",5
"ruderal_edge_010","Artemisia vulgaris",28
"ruderal_edge_010","Ballota nigra",23
"ruderal_edge_010","Chelidonium majus",41
"ruderal_edge_010","Galium aparine",35
"ruderal_edge_010","Galium verum",1
"ruderal_edge_010","Plantago major",17
"ruderal_edge_010","Poa pratensis",15
"ruderal_edge_010","Salvia pratensis",2
"ruderal_edge_010","Sambucus nigra",17
"ruderal_edge_010","Thymus serpyllum",6
"ruderal_edge_010","Urtica dioica",25
"ruderal_edge_011","Aegopodium podagraria",37
"ruderal_edge_011","Ballota nigra",23
"ruderal_edge_011","Betula pendula",2
"ruderal_edge_011","Chelidonium majus",38
"ruderal_edge_011","Dactylis glomerata",13
"ruderal_edge_011","Filipendula ulmaria",2
"ruderal_edge_011","Galium aparine",18
"ruderal_edge_011","Juncus effusus",7
"ruderal_edge_011","Plantago lanceolata",5
"ruderal_edge_011","Plantago major",13
"ruderal_edge_011","Rubus caesius",6
"ruderal_edge_011","Sambucus nigra",47
"ruderal_edge_011","Urtica dioica",21
"ruderal_edge_012","Aegopodium podagraria",14
"ruderal_edge_012","Artemisia vulgaris",16
"ruderal_edge_012","Ballota nigra",25
"ruderal_edge_012","Chelidonium majus",25
"ruderal_edge_012","Festuca ovina",4
"ruderal_edge_012","Filipendula ulmaria",1
"ruderal_edge_012","Galium aparine",13
"ruderal_edge_012","Pinus sylvestris",7
"ruderal_edge_012","Plantago lanceolata",3
"ruderal_edge_012","Salvia pratensis",10
"ruderal_edge_012","Urtica dioica",37
"ruderal_edge_013","Aegopodium podagraria",22
"ruderal_edge_013","Ballota nigra",15
"ruderal_edge_013","Bromus erectus",3
"ruderal_edge_013","Dactylis glomerata",21
"ruderal_edge_013","Deschampsia cespitosa",1
"ruderal_edge_013","Galium aparine",33
"ruderal_edge_013","Galium verum",5
"ruderal_edge_013","Lotus corniculatus",2
"ruderal_edge_013","Salvia pratensis",2
"ruderal_edge_013","Sambucus nigra",32
"ruderal_edge_013","Trifolium repens",18
"ruderal_edge_013","Urtica dioica",36
"ruderal_edge_014","Artemisia vulgaris",36
"ruderal_edge_014","Ballota nigra",43
"ruderal_edge_014","Chelidonium majus",27
"ruderal_edge_014","Festuca ovina",3
"ruderal_edge_014","Filipendula ulmaria",5
"ruderal_edge_014","Galium aparine",47
"ruderal_edge_014","Iris pseudacorus",6
"ruderal_edge_014","Poa pratensis",10
"ruderal_edge_014","Prunella vulgaris",2
"ruderal_edge_014","Ranunculus acris",8
"ruderal_edge_014","Salvia pratensis",3
"ruderal_edge_014","Sambucus nigra",56
"ruderal_edge_014","Trifolium repens",15
"ruderal_edge_015","Aegopodium podagraria",21
"ruderal_edge_015","Ballota nigra",34
"ruderal_edge_015","Chelidonium majus",28
"ruderal_edge_015","Dactylis glomerata",46
"ruderal_edge_015","Galium aparine",17
"ruderal_edge_015","Galium verum",2
"ruderal_edge_015","Hedera helix",1
"ruderal_edge_015","Lychnis flos-cuculi",5
"ruderal_edge_015","Phragmites australis",2
"ruderal_edge_015","Plantago lanceolata",5
"ruderal_edge_015","Poa pratensis",4
"ruderal_edge_015","Taraxacum officinale",6
"ruderal_edge_015","Trifolium repens",13
"ruderal_edge_015","Urtica dioica",35
"ruderal_edge_016","Aegopodium podagraria",16
"ruderal_edge_016","Artemisia vulgaris",9
"ruderal_edge_016","Ballota nigra",39
"ruderal_edge_016","Bromus erectus",5
"ruderal_edge_016","Chelidonium majus",14
"ruderal_edge_016","Dactylis glomerata",41
"ruderal_edge_016","Galium aparine",42
"ruderal_edge_016","Galium verum",3
"ruderal_edge_016","Leucanthemum vulgare",1
"ruderal_edge_016","Melica uniflora",4
"ruderal_edge_016","Plantago major",3
"ruderal_edge_016","Prunella vulgaris",2
"ruderal_edge_016","Ranunculus acris",8
"ruderal_edge_016","Salvia pratensis",4
"ruderal_edge_016","Sambucus nigra",26
"ruderal_edge_016","Taraxacum officinale",17
"ruderal_edge_016","Thymus serpyllum",1
"ruderal_edge_017","Achillea millefolium",1
"ruderal_edge_017","Aegopodium podagraria",53
"ruderal_edge_017","Anemone nemorosa",1
"ruderal_edge_017","Artemisia vulgaris",32
"ruderal_edge_017","Ballota nigra",33
"ruderal_edge_017","Chelidonium majus",24
"ruderal_edge_017","Galium aparine",18
"ruderal_edge_017","Lychnis flos-cuculi",2
"ruderal_edge_017","Plantago major",14
"ruderal_edge_017","Poa pratensis",8
"ruderal_edge_017","Quercus robur",3
"ruderal_edge_017","Ranunculus acris",17
"ruderal_edge_017","Rumex acetosa",6
"ruderal_edge_017","Sambucus nigra",14
"ruderal_edge_018","Aegopodium podagraria",18
"ruderal_edge_018","Artemisia vulgaris",30
"ruderal_edge_018","Ballota nigra",19
"ruderal_edge_018","Betula pendula",1
"ruderal_edge_018","Chelidonium majus",20
"ruderal_edge_018","Dactylis glomerata",14
"ruderal_edge_018","Filipendula ulmaria",3
"ruderal_edge_018","Galium aparine",41
"ruderal_edge_018","Galium verum",1
"ruderal_edge_018","Hedera helix",4
"ruderal_edge_018","Leucanthemum vulgare",4
"ruderal_edge_018","Plantago major",15
"ruderal_edge_018","Salvia pratensis",5
"ruderal_edge_018","Sambucus nigra",36
"ruderal_edge_018","Urtica dioica",12
"ruderal_edge_019","Achillea millefolium",2
"ruderal_edge_019","Aegopodium podagraria",47
"ruderal_edge_019","Artemisia vulgaris",37
"ruderal_edge_019","Ballota nigra",30
"ruderal_edge_019","Chelidonium majus",45
"ruderal_edge_019","Galium aparine",16
"ruderal_edge_019","Lychnis flos-cuculi",5
"ruderal_edge_019","Plantago major",6
"ruderal_edge_019","Poa pratensis",5
"ruderal_edge_019","Quercus robur",6
"ruderal_edge_019","Ranunculus acris",7
"ruderal_edge_019","Sambucus nigra",39
"ruderal_edge_019","Taraxacum officinale",3
"ruderal_edge_019","Trifolium repens",2
"ruderal_edge_019","Urtica dioica",36
"ruderal_edge_020","Aegopodium podagraria",32
"ruderal_edge_020","Ballota nigra",49
"ruderal_edge_020","Betula pendula",5
"ruderal_edge_020","Carex acuta",2
"ruderal_edge_020","Dactylis glomerata",26
"ruderal_edge_020","Festuca ovina",1
"ruderal_edge_020","Galium aparine",23
"ruderal_edge_020","Iris pseudacorus",5
"ruderal_edge_020","Mentha aquatica",3
"ruderal_edge_020","Plantago major",9
"ruderal_edge_020","Sambucus nigra",49
"ruderal_edge_020","Urtica dioica",51
"ruderal_edge_020","Veronica chamaedrys",4
"ruderal_edge_021","Achillea millefolium",2
"ruderal_edge_021","Aegopodium podagraria",37
"ruderal_edge_021","Artemisia vulgaris",36
"ruderal_edge_021","Ballota nigra",43
"ruderal_edge_021","Dactylis glomerata",29
"ruderal_edge_021","Deschampsia cespitosa",5
"ruderal_edge_021","Galium aparine",42
"ruderal_edge_021","Poa pratensis",5
"ruderal_edge_021","Ranunculus acris",3
"ruderal_edge_021","Sambucus nigra",40
"ruderal_edge_021","Thymus serpyllum",3
"ruderal_edge_022","Aegopodium podagraria",68
"ruderal_edge_022","Artemisia vulgaris",13
"ruderal_edge_022","Ballota nigra",34
"ruderal_edge_022","Chelidonium majus",39
"ruderal_edge_022","Dactylis glomerata",21
"ruderal_edge_022","Festuca ovina",2
"ruderal_edge_022","Galium aparine",37
"ruderal_edge_022","Plantago major",5
"ruderal_edge_022","Poa pratensis",18
"ruderal_edge_022","Sambucus nigra",35
"ruderal_edge_022","Urtica dioica",18
"ruderal_edge_023","Aegopodium podagraria",40
"ruderal_edge_023","Artemisia vulgaris",49
"ruderal_edge_023","Ballota nigra",26
"ruderal_edge_023","Dactylis glomerata",32
"ruderal_edge_023","Filipendula ulmaria",3
"ruderal_edge_023","Galium aparine",25
"ruderal_edge_023","Galium verum",1
"ruderal_edge_023","Lotus corniculatus",3
"ruderal_edge_023","Mentha aquatica",6
"ruderal_edge_023","Plantago major",9
"ruderal_edge_023","Ranunculus acris",6
"ruderal_edge_023","Sambucus nigra",23
"ruderal_edge_023","Veronica chamaedrys",4
"ruderal_edge_024","Aegopodium podagraria",16
"ruderal_edge_024","Artemisia vulgaris",40
