
"plot","community","community_label","is_transition","mix_a","mix_b"
"woodland_014","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_015","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_016","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_017","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_018","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_019","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_020","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_021","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_022","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_023","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_024","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_025","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_026","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_027","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_028","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_029","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_030","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"ruderal_edge_001","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_002","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_003","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_004","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_005","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_006","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_007","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_008","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_009","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_010","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_011","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_012","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_013","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_014","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_015","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_016","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_017","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_018","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_019","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_020","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_021","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_022","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_023","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_024","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_025","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_026","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_027","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_028","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_029","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"ruderal_edge_030","ruderal_edge","Ruderal nitrophilous edge",FALSE,"ruderal_edge",NA
"transition_dry_meadow_wet_meadow_001","transition_dry_meadow_wet_meadow","Transition: Dry calcareous meadow / Wet meadow and marsh edge",TRUE,"dry_meadow","wet_meadow"
"transition_dry_meadow_wet_meadow_002","transition_dry_meadow_wet_meadow","Transition: Dry calcareous meadow / Wet meadow and marsh edge",TRUE,"dry_meadow","wet_meadow"
"transition_dry_meadow_wet_meadow_003","transition_dry_meadow_wet_meadow","Transition: Dry calcareous meadow / Wet meadow and marsh edge",TRUE,"dry_meadow","wet_meadow"
"transition_dry_meadow_wet_meadow_004","transition_dry_meadow_wet_meadow","Transition: Dry calcareous meadow / Wet meadow and marsh edge",TRUE,"dry_meadow","wet_meadow"
"transition_wet_meadow_woodland_001","transition_wet_meadow_woodland","Transition: Wet meadow and marsh edge / Deciduous woodland shade",TRUE,"wet_meadow","woodland"
"transition_wet_meadow_woodland_002","transition_wet_meadow_woodland","Transition: Wet meadow and marsh edge / Deciduous woodland shade",TRUE,"wet_meadow","woodland"
"transition_wet_meadow_woodland_003","transition_wet_meadow_woodland","Transition: Wet meadow and marsh edge / Deciduous woodland shade",TRUE,"wet_meadow","woodland"
"transition_wet_meadow_woodland_004","transition_wet_meadow_woodland","Transition: Wet meadow and marsh edge / Deciduous woodland shade",TRUE,"wet_meadow","woodland"
"transition_woodland_ruderal_edge_001","transition_woodland_ruderal_edge","Transition: Deciduous woodland shade / Ruderal nitrophilous edge",TRUE,"woodland","ruderal_edge"
"transition_woodland_ruderal_edge_002","transition_woodland_ruderal_edge","Transition: Deciduous woodland shade / Ruderal nitrophilous edge",TRUE,"woodland","ruderal_edge"
"transition_woodland_ruderal_edge_003","transition_woodland_ruderal_edge","Transition: Deciduous woodland shade / Ruderal nitrophilous edge",TRUE,"woodland","ruderal_edge"
"transition_woodland_ruderal_edge_004","transition_woodland_ruderal_edge","Transition: Deciduous woodland shade / Ruderal nitrophilous edge",TRUE,"woodland","ruderal_edge"
"transition_dry_meadow_ruderal_edge_001","transition_dry_meadow_ruderal_edge","Transition: Dry calcareous meadow / Ruderal nitrophilous edge",TRUE,"dry_meadow","ruderal_edge"
"transition_dry_meadow_ruderal_edge_002","transition_dry_meadow_ruderal_edge","Transition: Dry calcareous meadow / Ruderal nitrophilous edge",TRUE,"dry_meadow","ruderal_edge"
"transition_dry_meadow_ruderal_edge_003","transition_dry_meadow_ruderal_edge","Transition: Dry calcareous meadow / Ruderal nitrophilous edge",TRUE,"dry_meadow","ruderal_edge"
"transition_dry_meadow_ruderal_edge_004","transition_dry_meadow_ruderal_edge","Transition: Dry calcareous meadow / Ruderal nitrophilous edge",TRUE,"dry_meadow","ruderal_edge"
