"","Festuca ovina","Bromus erectus","Thymus serpyllum","Salvia pratensis","Galium verum","Achillea millefolium","Lotus corniculatus","Plantago lanceolata","Carex acuta","Juncus effusus","Caltha palustris","Filipendula ulmaria","Lychnis flos-cuculi","Deschampsia cespitosa","Mentha aquatica","Iris pseudacorus","Fagus sylvatica","Quercus robur","Anemone nemorosa","Galium odoratum","Mercurialis perennis","Hedera helix","Dryopteris filix-mas","Melica uniflora","Urtica dioica","Galium aparine","Sambucus nigra","Artemisia vulgaris","Ballota nigra","Chelidonium majus","Aegopodium podagraria","Dactylis glomerata","Poa pratensis","Trifolium repens","Taraxacum officinale","Ranunculus acris","Plantago major","Betula pendula","Pinus sylvestris","Phragmites australis","Rubus caesius","Vicia cracca","Leucanthemum vulgare","Hypericum perforatum","Rumex acetosa","Veronica chamaedrys","Prunella vulgaris"
"dry_meadow_011",0,0,0,40,11,15,64,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,11,0,11,3,0,0,0,0,0,0,0,3,0,0,0
"dry_meadow_012",29,50,32,31,49,0,33,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,3,0
"dry_meadow_013",17,35,10,44,33,0,32,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,19,0,5,0,5,0,0,0,0,0,0
"dry_meadow_014",31,17,42,55,13,23,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0
"dry_meadow_015",0,0,17,40,29,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,7,0,0,0,0,0,4,0,0,0,0,0,0
"dry_meadow_016",23,16,38,58,26,36,38,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_017",23,29,16,15,22,28,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,23,0,15,0,0,0,0,0,2,0,5,0,0,0,0
"dry_meadow_018",17,8,16,34,17,0,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,8,17,0,15,0,0,0,0,0,0,0,0,0,0
"dry_meadow_019",26,0,0,37,0,0,19,18,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_020",57,34,22,35,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,7,0,0,0,0
"dry_meadow_021",38,39,27,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dry_meadow_022",49,0,19,8,0,12,17,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dry_meadow_023",37,35,27,16,18,32,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,3,0,0,0,0,0,0,0,2,0,0
"dry_meadow_024",23,0,35,20,27,28,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,11,9,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_025",0,21,10,37,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,3,0,0,0,0,0,3
"dry_meadow_026",48,29,9,15,0,20,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0
"dry_meadow_027",35,15,15,28,0,31,49,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,3,0,5,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_028",25,19,68,26,29,51,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
"dry_meadow_029",28,0,0,29,21,0,32,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"dry_meadow_030",7,20,30,35,0,39,43,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,10,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_001",0,0,0,0,0,0,0,0,37,0,20,0,10,24,37,35,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,13,1,0,0,5,0,0,0,0,0,0,0,4,0,0
"wet_meadow_002",3,0,0,3,0,0,0,0,44,0,16,22,51,41,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,11,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_003",2,0,0,0,0,0,0,0,12,27,29,16,36,34,59,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,1,0,0
"wet_meadow_004",0,0,0,0,0,0,0,0,35,32,12,0,0,37,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,14,0,0,0,0,0,0,0,0,0,2,0
"wet_meadow_005",0,0,0,0,0,0,0,0,0,0,17,0,14,34,53,57,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,11,21,0,7,0,0,2,0,0,0,3,0,0,0,0
"wet_meadow_006",0,0,0,0,0,0,0,0,48,46,49,19,0,7,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"wet_meadow_007",0,0,0,0,0,0,0,0,17,0,35,11,32,0,35,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,5,12,3,10,22,0,0,0,0,0,0,0,0,5,0
"wet_meadow_008",0,0,0,0,0,0,0,0,0,0,59,0,42,0,0,48,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,1,2,0,0,0
"wet_meadow_009",0,0,0,0,0,0,0,3,49,16,43,20,19,33,43,23,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,2,0
"wet_meadow_010",0,0,0,0,0,0,0,0,44,0,44,40,45,25,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_011",2,0,0,0,2,0,0,2,0,38,40,44,32,25,7,50,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,7,0,0,0,0
"wet_meadow_012",0,0,0,0,3,0,0,0,20,42,33,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,9,0,0,5,0,0,0,0,0,0,0,0,0,0
"wet_meadow_013",0,0,0,0,0,0,0,0,0,26,24,38,49,17,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_014",0,0,2,0,1,0,0,0,0,0,44,48,27,13,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,2,0,2,4,0
"wet_meadow_015",0,0,0,0,0,0,0,2,0,10,33,15,37,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,8,4
"wet_meadow_016",0,0,0,0,0,0,0,0,0,0,36,17,0,41,51,64,0,0,0,0,0,6,0,0,4,0,0,0,0,1,0,0,0,5,17,6,0,2,0,0,0,0,0,0,0,0,0
"wet_meadow_017",0,0,0,0,0,0,0,0,0,25,26,0,0,59,50,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_018",0,0,0,0,0,0,0,0,0,0,46,46,33,0,37,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14,11,0,0,0,0,0,0,0,0,0,0
"wet_meadow_019",0,0,0,0,0,0,0,0,17,48,51,13,50,28,57,24,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,15,17,0,4,23,0,0,0,0,0,2,0,0,0,0
"wet_meadow_020",0,0,0,0,0,0,0,0,22,46,11,35,32,51,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_021",0,0,0,0,0,0,0,0,0,49,35,46,52,26,17,19,0,0,0,3,0,0,0,0,0,3,0,0,2,4,2,0,21,9,0,0,0,0,1,0,0,0,0,0,0,0,0
"wet_meadow_022",0,0,0,0,0,0,0,0,0,46,31,31,26,21,26,43,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_023",0,0,0,0,0,0,0,0,47,0,36,19,0,27,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,14,0,0,0,0,0,0,4,0,0,0,0,0,0
"wet_meadow_024",0,0,0,0,0,0,0,0,23,0,48,31,0,19,22,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
"wet_meadow_025",0,0,0,0,0,5,0,0,54,44,23,0,40,41,13,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,10,12,0,11,0,0,0,0,0,0,2,0,0,0,0
"wet_meadow_026",0,0,0,0,0,0,0,0,0,28,34,0,29,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_027",0,0,0,0,0,0,0,0,45,38,17,14,13,31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,12,3,0,0,0,0,0,0,4,0,0
"wet_meadow_028",0,0,0,0,0,0,0,0,52,12,0,38,0,24,58,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_029",3,0,0,0,0,0,0,0,23,33,48,0,37,40,0,44,0,0,0,0,0,0,0,2,0,2,4,1,1,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0
"wet_meadow_030",0,0,0,0,0,0,0,0,40,23,36,34,38,27,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,20,0,0,0,0,2,0,0,0,0,0
"woodland_001",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,44,24,0,22,38,29,21,32,0,0,0,5,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0
"woodland_002",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,37,0,46,20,32,19,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,3,0,0,0,2
"woodland_003",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,40,29,46,44,28,53,38,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"woodland_004",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,30,14,22,10,41,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"woodland_005",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,30,0,0,18,32,12,35,0,0,0,0,2,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
"woodland_006",2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,28,40,45,57,0,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3
"woodland_007",0,0,2,0,0,0,5,0,0,0,0,0,0,0,5,0,29,29,44,25,28,28,64,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"woodland_008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,25,42,36,0,30,34,0,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"woodland_009",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,62,64,18,43,42,18,0,0,6,0,1,0,0,4,0,8,7,0,4,0,0,0,0,0,0,0,0,0,0
"woodland_010",0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,38,26,48,36,22,42,0,44,0,0,0,0,4,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,1,2
"woodland_011",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,32,21,20,34,65,43,29,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0
"woodland_012",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,39,0,40,21,0,12,20,41,0,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,2,0,0,4,0,0,0
"woodland_013",0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,26,43,48,0,20,54,19,25,0,0,0,0,0,4,0,0,13,0,0,8,0,0,0,0,0,0,0,0,2,0,0
"woodland_014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,39,37,13,11,0,0,0,0,0,0,0,0,0,0,10,0,7,4,0,0,0,0,0,3,0,0,0,0
"woodland_015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,25,34,49,21,23,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0
"woodland_016",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,24,34,64,17,36,13,0,0,1,0,0,0,0,0,0,2,16,0,6,0,0,0,0,0,0,0,0,0,1
"woodland_017",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,14,22,45,28,30,26,20,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,5,0,4,0,0,0,0
"woodland_018",0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,16,25,0,17,0,0,29,64,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"woodland_019",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,42,15,25,22,52,32,12,13,2,0,0,0,0,0,0,0,9,5,0,10,5,0,0,0,0,0,0,0,0,0,0
"woodland_020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,59,66,17,38,24,34,38,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"woodland_021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,18,0,26,23,26,21,0,0,0,0,0,4,0,0,0,0,0,4,14,0,0,0,5,0,0,0,0,0,0
"woodland_022",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,44,17,30,29,16,20,19,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,2,0,0,0,0,0,0
"woodland_023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,8,68,10,27,16,43,0,0,0,0,0,1,0,0,0,0,0,13,6,0,6,0,0,0,0,0,0,0,0
"woodland_024",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,44,47,34,20,43,29,0,0,0,0,0,0,0,0,15,0,0,29,7,0,0,0,0,0,0,0,0,0,7
"woodland_025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,40,40,33,10,29,0,0,1,0,0,2,0,3,0,18,0,14,0,0,2,0,0,0,0,0,0,0,0
"woodland_026",0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,12,36,0,0,27,26,51,0,0,0,0,0,4,0,0,10,5,10,9,0,0,0,0,0,0,0,0,0,0,0
"woodland_027",0,1,0,1,0,3,0,2,0,1,1,0,0,0,0,0,35,21,31,29,13,30,0,31,0,0,0,0,0,0,0,6,0,6,0,17,0,0,0,0,0,0,2,1,0,0,0
"woodland_028",0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,27,37,35,38,0,22,16,0,2,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0
"woodland_029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,23,28,45,44,10,34,1,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"woodland_030",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,39,20,0,58,37,39,46,48,5,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ruderal_edge_001",0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,45,35,0,0,25,42,0,39,10,2,14,0,11,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_002",0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,32,45,0,36,34,21,0,46,0,13,6,0,0,0,0,0,0,0,3,0,0,0,0
"ruderal_edge_003",0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,37,23,17,32,0,37,4,0,0,0,13,1,0,0,4,0,0,6,0,0,0
"ruderal_edge_004",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,31,21,53,12,12,28,31,23,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0
"ruderal_edge_005",0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,51,0,0,23,29,23,34,35,0,0,0,5,15,8,0,0,0,0,0,0,0,1,0
"ruderal_edge_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,45,0,29,25,24,0,14,60,6,0,0,8,11,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_007",0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,37,46,13,22,14,0,0,14,10,0,0,0,0,0,3,0,0,5,0,0
"ruderal_edge_008",0,0,0,0,3,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,21,0,21,0,15,0,0,11,18,9,9,0,0,0,0,0,0,0,0,0,2
"ruderal_edge_009",0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,25,28,18,13,16,0,58,12,0,1,3,2,0,0,0,0,0,1,0,0,0,0
"ruderal_edge_010",0,0,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,17,28,23,41,0,0,15,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_011",0,0,0,0,0,0,0,5,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,18,47,0,23,38,37,13,0,0,0,0,13,2,0,0,6,0,0,0,0,0,0
"ruderal_edge_012",4,0,0,10,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,13,0,16,25,25,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"ruderal_edge_013",0,3,0,2,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,33,32,0,15,0,22,21,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_014",3,0,0,3,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,47,56,36,43,27,0,0,10,15,0,8,0,0,0,0,0,0,0,0,0,0,2
"ruderal_edge_015",0,0,0,0,2,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,35,17,0,0,34,28,21,46,4,13,6,0,0,0,0,2,0,0,0,0,0,0,0
"ruderal_edge_016",0,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,42,26,9,39,14,16,41,0,0,17,8,3,0,0,0,0,0,1,0,0,0,2
"ruderal_edge_017",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,18,14,32,33,24,53,0,8,0,0,17,14,0,0,0,0,0,0,0,6,0,0
"ruderal_edge_018",0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,12,41,36,30,19,20,18,14,0,0,0,0,15,1,0,0,0,0,4,0,0,0,0
"ruderal_edge_019",0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,36,16,39,37,30,45,47,0,5,2,3,7,6,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_020",1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,51,23,49,0,49,0,32,26,0,0,0,0,9,5,0,0,0,0,0,0,0,4,0
"ruderal_edge_021",0,0,3,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42,40,36,43,0,37,29,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_022",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37,35,13,34,39,68,21,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_023",0,0,0,0,1,0,3,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,25,23,49,26,0,40,32,0,0,0,6,9,0,0,0,0,0,0,0,0,4,0
"ruderal_edge_024",0,0,3,0,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,21,51,45,40,48,0,16,17,0,0,12,15,26,0,0,0,0,0,3,0,1,0,0
"ruderal_edge_025",9,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,3,2,15,19,21,0,32,0,0,9,0,0,9,6,0,0,0,0,0,0,0,2,0,0,0
"ruderal_edge_026",0,0,3,0,0,0,0,2,9,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,44,54,39,33,18,32,44,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_027",0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,24,40,11,19,9,24,0,38,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0
"ruderal_edge_028",0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,46,35,20,13,51,48,33,30,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"ruderal_edge_029",0,0,0,0,6,2,0,0,2,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,54,36,16,21,27,28,0,41,0,0,16,11,0,0,0,0,1,0,0,0,0,0,0
"ruderal_edge_030",0,0,0,3,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,57,46,46,0,37,0,0,0,14,0,0,0,15,0,0,3,0,0,0,0,0,0,0
"transition_dry_meadow_wet_meadow_001",15,5,7,0,0,0,14,0,19,0,0,0,0,6,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
"transition_dry_meadow_wet_meadow_002",13,21,0,10,15,0,0,11,13,0,16,0,14,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,8,0,0,0,0,0,0,2,0,0,0,0,0
"transition_dry_meadow_wet_meadow_003",25,0,0,13,0,20,8,16,12,21,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,2,0,0
"transition_dry_meadow_wet_meadow_004",0,4,0,3,0,0,16,0,9,3,0,0,0,0,15,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,10,18,0,0,0,0,0,0,0,0,0,0
"transition_wet_meadow_woodland_001",0,0,0,0,0,0,0,0,3,4,0,8,0,6,3,0,0,0,0,2,28,0,10,0,0,0,0,0,0,2,0,0,0,0,6,0,29,0,2,0,0,0,0,0,0,0,0
"transition_wet_meadow_woodland_002",0,0,0,0,0,0,0,0,4,8,14,22,10,0,14,12,0,0,13,9,2,9,13,14,3,0,0,0,0,0,0,0,14,9,0,2,9,0,0,0,0,0,0,0,0,0,0
